Study ID,authors,year,journal,Study_Loc,latitude,longitude,aug_daily_average,aug_daily_max,average_summer_rain,weather_station,distance,Study_Lat,Study_Long,Notes on Study_loc,caribou_herd,caribou_type,Subspecies,caribou data?,dates of sampling,data type,method,sample_size,unit,lichen,lichen_error,graminoid,graminoid_error,forbs,forbs_error,shrubs,shrubs_error,horsetail,horsetail_error,tree,tree_error,moss,moss_error,fungi,fungi_error,other,other_error,season,annual,age,sex,spatial,sympatric_ungulates,Notes
31b,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,38,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,23,NA,NA,NA,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (46.5%), Other(7%)",NA,winter,NA,NA,NA,NA,1,
31c,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,15,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,29.2,NA,NA,NA,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (19.3%), Other(9%)",NA,winter,NA,NA,NA,NA,1,
31d,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,27,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,9,NA,NA,NA,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (43.9%), Other(6.2%)",NA,spring,NA,NA,NA,NA,1,
31e,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,30,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,13.6,NA,NA,NA,43.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (29.2%), Other(14.0%)",NA,spring,NA,NA,NA,NA,1,
31f,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,30,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,23,NA,NA,NA,54.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (14.5%), Other(8.9%)",NA,calving,NA,NA,NA,NA,1,
31g,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,24,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,4.7,NA,NA,NA,86.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other (8.6),NA,summer,NA,NA,NA,NA,1,
31h,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,26,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,15.3,NA,NA,NA,63.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (12.2%), Other(9.8%)",NA,summer,NA,NA,NA,NA,1,
31i,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,10,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,28.4,NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (10.5%), Other(29.9%)",NA,fall,NA,NA,NA,NA,1,
31j,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,21,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,25.9,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (25.5%), Other(10.9%)",NA,fall,NA,NA,NA,NA,1,
31k,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,49,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,18.8,NA,NA,NA,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (30.2%), Other(9.4%)",NA,fall,NA,NA,NA,NA,1,
31l,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,16,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",0,NA,26.3,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (45.3%), Other(7.1%)",NA,winter,NA,NA,NA,NA,1,
34a,Mathiesen et al,2000,Journal of Zoology,Norway,69,23,,,,,,69°N,23 E,direct from paper,"Finnmark, northern Norway",reindeer,reindeer,plant fragments in rumen contents of 36 females,"9 females on 4 occasions, Sept 6-15, 27 Nov, 7 Feb, 30 Mar 1995-1996",rumen,,9,Mean proportion (%) of plant fragments (by growth forms) in the rumen contents of free-living adult female reindeer in northern Norway,14.8,BA,60.9,NA,NA,NA,25.1,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,fall,,,,,1,
34b,Mathiesen et al,2000,Journal of Zoology,Norway,69,23,,,,,,69°N,23 E,direct from paper,"Finnmark, northern Norway",reindeer,reindeer,plant fragments in rumen contents of 36 females,"9 females on 4 occasions, Sept 6-15, 27 Nov, 7 Feb, 30 Mar 1995-1996",rumen,,9,Mean proportion (%) of plant fragments (by growth forms) in the rumen contents of free-living adult female reindeer in northern Norway,14.4,,53.4,NA,NA,NA,27.1,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,winter,,,,,1,
34c,Mathiesen et al,2000,Journal of Zoology,Norway,69,23,,,,,,69°N,23 E,direct from paper,"Finnmark, northern Norway",reindeer,reindeer,plant fragments in rumen contents of 36 females,"9 females on 4 occasions, Sept 6-15, 27 Nov, 7 Feb, 30 Mar 1995-1996",rumen,,9,Mean proportion (%) of plant fragments (by growth forms) in the rumen contents of free-living adult female reindeer in northern Norway,13.3,,62.3,NA,NA,NA,16.2,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,winter,,,,,1,
34d,Mathiesen et al,2000,Journal of Zoology,Norway,69,23,,,,,,69°N,23 E,direct from paper,"Finnmark, northern Norway",reindeer,reindeer,plant fragments in rumen contents of 36 females,"9 females on 4 occasions, Sept 6-15, 27 Nov, 7 Feb, 30 Mar 1995-1996",rumen,,9,Mean proportion (%) of plant fragments (by growth forms) in the rumen contents of free-living adult female reindeer in northern Norway,25.8,,51.3,NA,NA,NA,17.2,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,winter,,,,,1,
36a,Ophof et al.,2013,Animal Feed Science and Technology,Finland,69.3,27,,,,,,"69° 3' 0"" N","27° 0' 0"" E",direct from paper,Muddusjarvi reindeer herding district,reindeer,reindeer,microhistological analysis of 23 fecal samples,"17 fecal samples collected in May 2011, and 6 between December 2007 and April 2008",fecal,microhisto,17,Mean proportion (%),41.7,NA,10,NA,NA,NA,33.7,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,winter,NA,NA,NA,natural pastures in Northern Finland.,1,semi-domesticated reindeer (Rangifer tarandus tarandus) graz-ing on natural pastures in Northern Finland.
36b,Ophof et al.,2013,Animal Feed Science and Technology,Finland,69.3,27,,,,,,"69° 3' 0"" N","27° 0' 0"" E",direct from paper,Muddusjarvi reindeer herding district,reindeer,reindeer,microhistological analysis of 23 fecal samples,"17 fecal samples collected in May 2011, and 6 between December 2007 and April 2008",fecal,microhisto,6,Mean proportion (%),45.1,NA,18.3,NA,NA,NA,22.2,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,spring,NA,NA,NA,natural pastures in Northern Finland.,1,
38,Rominger and Oldemeyer,1990,Canadian Journal of Zoology,Selkirk Mountains,51.39,-117.52,16.4,23.5,535.4,"Goldstream River, BC",38.58,51°39_24_N,117°52_03_W,googled location,Selkirk,woodland,woodland,radio collar and feces sampling,Early winter from 1983-1986,fecal,microhisto,7,Percentage of arboreal lichens and percentage of conifers based on microhistological analyses of feces,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA,NA,NA,winter,1983,NA,NA,"Selkirk Mountains, British Columbia, Canada",0,"Just looked at conifers and arboreal lichens, also have different snow pack cover"
38,Rominger and Oldemeyer,1990,Canadian Journal of Zoology,Selkirk Mountains,51.39,-117.52,16.4,23.5,535.4,"Goldstream River, BC",38.58,51°39_24_N,117°52_03_W,googled location,Selkirk,woodland,woodland,radio collar and feces sampling,Early winter from 1983-1986,fecal,microhisto,12,Percentage of arboreal lichens and percentage of conifers based on microhistological analyses of feces,62.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,NA,NA,NA,NA,NA,NA,NA,winter,1984,NA,NA,"Selkirk Mountains, British Columbia, Canada",0,"Just looked at conifers and arboreal lichens, also have different snow pack cover"
38,Rominger and Oldemeyer,1990,Canadian Journal of Zoology,Selkirk Mountains,51.39,-117.52,16.4,23.5,535.4,"Goldstream River, BC",38.58,51°39_24_N,117°52_03_W,googled location,Selkirk,woodland,woodland,radio collar and feces sampling,Early winter from 1983-1986,fecal,microhisto,25,Percentage of arboreal lichens and percentage of conifers based on microhistological analyses of feces,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,winter,1985,NA,NA,"Selkirk Mountains, British Columbia, Canada",0,"Just looked at conifers and arboreal lichens, also have different snow pack cover"
38,Rominger and Oldemeyer,1990,Canadian Journal of Zoology,Selkirk Mountains,51.39,-117.52,16.4,23.5,535.4,"Goldstream River, BC",38.58,51°39_24_N,117°52_03_W,googled location,Selkirk,woodland,woodland,radio collar and feces sampling,Early winter from 1983-1986,fecal,microhisto,20,Percentage of arboreal lichens and percentage of conifers based on microhistological analyses of feces,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,winter,1986,NA,NA,"Selkirk Mountains, British Columbia, Canada",1,"Just looked at conifers and arboreal lichens, also have different snow pack cover"
41a,Rozenfield et al,2012,Biology Bulletin,Wrangel Island Nature Reserve,71.11,-179.38,14.1,17.7,96.2,Wrangel Island AK,,71° 11' 15.9144'' N,179° 38' 54.3768'' W,Used google to find the island,Wrangel Island,reindeer,reindeer,cuticular analysis of plants in 44 fecal samples,"Between Feb 1 2004 and Nov 20 2009, 44 fecal samples were collected. 2 in Feb, 7 in Mar, 3 in Apr, 1 in May, 1 in Jun, 1 in Jul, 17 in Aug, 8 in Sept, 2 in Oct, 2 in Nov",fecal,microhisto,44,% abundance in fecal samples,19.3,NA,18.37,NA,0.065,NA,0.369,NA,0,NA,NA,NA,0.12,NA,NA,NA,NA,NA,winter,collected between 2004-2009,,,,1,digitized from figure 1
41b,Rozenfield et al,2012,Biology Bulletin,Wrangel Island Nature Reserve,71.11,-179.38,14.1,17.7,96.2,Wrangel Island AK,,71° 11' 15.9144'' N,179° 38' 54.3768'' W,Used google to find the island,Wrangel Island,reindeer,reindeer,cuticular analysis of plants in 44 fecal samples,"Between Feb 1 2004 and Nov 20 2009, 44 fecal samples were collected. 2 in Feb, 7 in Mar, 3 in Apr, 1 in May, 1 in Jun, 1 in Jul, 17 in Aug, 8 in Sept, 2 in Oct, 2 in Nov",fecal,microhisto,44,% abundance in fecal samples,0,NA,0.342,NA,0.1,NA,0.48,NA,0,NA,NA,NA,0.07,NA,NA,NA,NA,NA,spring,collected between 2004-2009,,,,1,digitized from figure 1
41c,Rozenfield et al,2012,Biology Bulletin,Wrangel Island Nature Reserve,71.11,-179.38,14.1,17.7,96.2,Wrangel Island AK,,71° 11' 15.9144'' N,179° 38' 54.3768'' W,Used google to find the island,Wrangel Island,reindeer,reindeer,cuticular analysis of plants in 44 fecal samples,"Between Feb 1 2004 and Nov 20 2009, 44 fecal samples were collected. 2 in Feb, 7 in Mar, 3 in Apr, 1 in May, 1 in Jun, 1 in Jul, 17 in Aug, 8 in Sept, 2 in Oct, 2 in Nov",fecal,microhisto,44,% abundance in fecal samples,0.01,NA,0.64,NA,0.121,NA,0.173,NA,0.013,NA,NA,NA,0.039,NA,NA,NA,NA,NA,summer,collected between 2004-2009,,,,1,digitized from figure 1
41d,Rozenfield et al,2012,Biology Bulletin,Wrangel Island Nature Reserve,71.11,-179.38,14.1,17.7,96.2,Wrangel Island AK,,71° 11' 15.9144'' N,179° 38' 54.3768'' W,Used google to find the island,Wrangel Island,reindeer,reindeer,cuticular analysis of plants in 44 fecal samples,"Between Feb 1 2004 and Nov 20 2009, 44 fecal samples were collected. 2 in Feb, 7 in Mar, 3 in Apr, 1 in May, 1 in Jun, 1 in Jul, 17 in Aug, 8 in Sept, 2 in Oct, 2 in Nov",fecal,microhisto,44,% abundance in fecal samples,0.02,NA,0.536,NA,0.055,NA,0.246,NA,0.026,NA,NA,NA,0.11,NA,NA,NA,NA,NA,fall,collected between 2004-2009,,,,2,digitized from figure 1
43a,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Middle Ridge, spring, 1990s",fecal,microhisto,2518,% of diet,34,NA,13,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,spring,1990s,,,,2,digitized from figure in paper
43b,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Middle Ridge, spring, 2000s",fecal,microhisto,2518,% of diet,44,NA,15,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,spring,2000s,,,,2,digitized from figure in paper
43c,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Middle Ridge, summer, 1980s",fecal,microhisto,2518,% of diet,34,NA,14,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,summer,1980s,,,,2,digitized from figure in paper
43d,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Middle Ridge, summer, 1990s",fecal,microhisto,2518,% of diet,40,NA,2,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,summer,1990s,,,,2,digitized from figure in paper
43e,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Middle Ridge, summer, 2000s",fecal,microhisto,2518,% of diet,40,NA,10,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,summer,2000s,,,,2,digitized from figure in paper
43f,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Middle Ridge, fall, 2000s",fecal,microhisto,2518,% of diet,64,NA,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,fall,2000s,,,,2,digitized from figure in paper
43g,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Middle Ridge, winter, 1990s",fecal,microhisto,2518,% of diet,57,NA,19,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,winter,1990s,,,,2,digitized from figure in paper
43h,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Middle Ridge, winter, 2000s",fecal,microhisto,2518,% of diet,47,NA,7.4,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,winter,2000s,,,,2,digitized from figure in paper
43i,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Other herds, spring, 1990s",fecal,microhisto,2518,% of diet,65,NA,15,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,spring,1990s,,,,2,digitized from figure in paper
43j,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Other herds, spring, 2000s",fecal,microhisto,2518,% of diet,30,NA,18,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,spring,2000s,,,,2,digitized from figure in paper
43k,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Other herds, summer, 1990s",fecal,microhisto,2518,% of diet,24,NA,21,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,summer,1990s,,,,2,digitized from figure in paper
43l,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Other herds, summer, 2000s",fecal,microhisto,2518,% of diet,11,NA,11,NA,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,summer,2000s,,,,2,digitized from figure in paper
43m,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Other herds, fall, 1990s",fecal,microhisto,2518,% of diet,63,NA,0.2,NA,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,fall,1990s,,,,2,digitized from figure in paper
43n,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Other herds, fall, 2000s",fecal,microhisto,2518,% of diet,46,NA,4.2,NA,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,fall,2000s,,,,2,digitized from figure in paper
43o,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Other herds, winter, 1990s",fecal,microhisto,2518,% of diet,53.5,NA,6.7,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,winter,1990s,,,,2,digitized from figure in paper
43p,Schaefer et al.,2016,Journal of Mammology,Newfoundland,48,-55,15.3,19.3,955.6,Pools Cove Fortune Bay,54.84,51° 01' N,96° 40' W,direct from paper,Aikens Caribou,woodland,woodland,analysis of fecal samples (2518 pellet groups),"Other herds, winter, 2000s",fecal,microhisto,2518,% of diet,46.8,NA,4.6,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,NA,winter,2000s,,,,0,digitized from figure in paper
47a,Sormo et al,1999,Journal of Zoology,Svalbard,79.45,20,,,,,,79°45' - 80°25' N,18°10' - 22°00' E,direct from paper,Nordenskiold land,reindeer,reindeer,,autumn,rumen,,5,Mean % per individual,0,NA,68.2,NA,30.2,NA,9.1,NA,5.7,NA,NA,NA,26.9,NA,,,NA,NA,fall,,,,,0,Values exceed 100% because it is the average percentages of individuals
47b,Sormo et al,1999,Journal of Zoology,Svalbard,79.45,20,,,,,,79°45' - 80°25' N,18°10' - 22°00' E,direct from paper,Nordenskiold land,reindeer,reindeer,,autumn,rumen,,7,Mean % per individual,0.6,NA,55.1,NA,87.2,NA,7.7,NA,27.8,NA,NA,NA,23.4,NA,,,NA,NA,fall,,,,,0,Values exceed 100% because it is the average percentages of individuals
47c,Sormo et al,1999,Journal of Zoology,Svalbard,79.45,20,,,,,,79°45' - 80°25' N,18°10' - 22°00' E,direct from paper,Nordenskiold land,reindeer,reindeer,,winter,rumen,,4,Mean % per individual,0,NA,30.3,NA,65.4,NA,16.3,NA,0,NA,NA,NA,10,NA,,,NA,NA,winter,,,,,0,Values exceed 100% because it is the average percentages of individuals
47d,Sormo et al,1999,Journal of Zoology,Svalbard,79.45,20,,,,,,79°45' - 80°25' N,18°10' - 22°00' E,direct from paper,Nordenskiold land,reindeer,reindeer,,winter,rumen,,3,Mean % per individual,2.2,NA,35.5,NA,0,NA,4.6,NA,0,NA,NA,NA,54.2,NA,,,NA,NA,winter,,,,,0,Values exceed 100% because it is the average percentages of individuals
47e,Sormo et al,1999,Journal of Zoology,Svalbard,79.45,20,,,,,,79°45' - 80°25' N,18°10' - 22°00' E,direct from paper,Nordenskiold land,reindeer,reindeer,,summer,rumen,,6,Mean % per individual,1.7,NA,39.7,NA,60.7,NA,15.8,NA,3.7,NA,NA,NA,6.1,NA,,,NA,NA,summer,,,,,0,Values exceed 100% because it is the average percentages of individuals
47f,Sormo et al,1999,Journal of Zoology,Svalbard,79.45,20,,,,,,79°45' - 80°25' N,18°10' - 22°00' E,direct from paper,Nordenskiold land,reindeer,reindeer,,winter,rumen,,3,Mean % per individual,0.3,NA,13,NA,67,NA,12.7,NA,0,NA,NA,NA,7.3,NA,,,NA,NA,winter,,,,,0,Values exceed 100% because it is the average percentages of individuals
48a,Staaland and White,1991,Canadian Journal of Zoology,Svalbard,77.9,15,,,,,,77° 9' N,15° 2' E,googled location,"Nordenskioldland, Spitsbergen, Svalbard",reindeer,reindeer,analysis of rumen contents of 12,6 rumen analysed in summer (August) and 6 in late winter (May),rumen,,12,% diet composition,2,NA,41,7.2,2,NA,10,5.9,NA,NA,NA,NA,43,9.3,,,NA,NA,winter,,,,,0,
48b,Staaland and White,1991,Canadian Journal of Zoology,Svalbard,77.9,15,,,,,,77° 9' N,15° 2' E,googled location,"Nordenskioldland, Spitsbergen, Svalbard",reindeer,reindeer,analysis of rumen contents of 12,6 rumen analysed in summer (August) and 6 in late winter (May),rumen,,12,% diet composition,20,6.3,42,10.3,8,3,7,5.1,NA,NA,NA,NA,16,2.5,,,NA,NA,summer,,,,,2,
50a,Thompson and McCourt,1981,The American Midland Naturalist,Northern Yukon,NA,NA,NA,NA,NA,NA,NA,NA,NA,changed with moving herd but not reported,Porcupine,barren-ground,barren-ground,"histological analysis of plants in 1220 fecal samples, each sample consisted from 2 pellets from a pellet group.","1973; 100 fecal samples in winter (Apr 3,6,11), 800 samples in spring migration (May 20,23,29), 90 samples in calving (Jun 4,7,10), 90 samples in postcalving (Jun 21,27), 70 in summer movements(Jul 16,18,25,28), 50 in august dispersal (Aug 2,23,26,30), 50 in august migration (Sept 29,30)",fecal,microhisto,100,% relative density,66.7,NA,3.2,NA,NA,NA,1.2,NA,NA,NA,NA,NA,28.8,NA,,,0.1,NA,winter,,,,,2,
